name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
HU Psc,25.64929,1.709952667,10.24456,7.55,7.57,0.02,DSCTC,0.0435787,660221,STAR F1V
IK Peg,321.61108,21.44073867,19.37564,6.04,6.07,0.03,DSCTC,0.044,620228,STAR A8
V510 Peg,333.41083,22.22738867,18.90275,8.25,8.27,0.02,DSCTC,0.0441427,620510,STAR A9IV
V450 Com,198.28921,13.21928067,18.16103,19.6,19.2,0.4,SXPHE,0.04425,250450,STAR
V425 Com,198.24296,13.21619733,18.14472,19.61,19.35,0.26,SXPHE,0.04432,250425,STAR
IZ Cnc,121.75179,8.116786,15.18328,15.5,15.25,0.25,SXPHE,0.04489,120243,STAR F0V
V385 Com,198.20796,13.213864,18.14903,18.07,18.21,0.14,SXPHE,0.04493,250385,STAR
V431 Boo,211.35771,14.090514,28.51739,19.2,18.9,0.3,SXPHE,0.044961,90431,STAR
AR Tri,23.67762,1.578508,30.42444,10.63,10.6,0.03,DSCTC:,0.045,800071,STAR
V435 Boo,211.371,14.0914,28.53242,19.2,19.1,0.1,SXPHE,0.0451264,90435,STAR
V436 Com,198.25804,13.21720267,18.20842,19.74,19.44,0.3,SXPHE,0.04526,250436,STAR
V384 Com,198.20704,13.21380267,18.12386,19.1,18.6,0.5,SXPHE,0.04537,250384,STAR
LT Cnc,137.60596,9.173730667,12.14086,13.88,13.9,0.02,unique,0.0458,120268,STAR B0VI
V1836 Ori,73.81842,4.921228,12.90292,15.92,16,0.08,SXPHE,0.046,601836,STAR F0
V2447 Cyg,320.87342,21.39156133,46.38469,19.21,19.55,0.34,DSCT,0.046,312447,STAR
OV Boo,226.8435,15.1229,52.51097,19.6,18.2,1.4,EA+ZZ,0.046258341,90309,WHITE DWARF D A
V437 Com,198.25804,13.21720267,18.17028,19.6,19.1,0.5,SXPHE,0.04633,250437,STAR
V549 Ser,277.32358,18.48823867,5.65531,10.79,10.8,0.01,DSCTC:,0.04683,760549,STAR A4
